Number,Title,Date,Time,Link
1,Էլեկտրաէներգիայի սակագնի բարձրացումն անխուսափելի է դառնում,24.10.2025,15:27,https://irates.am/hy/1761305336
2,Բրիտանիայի միապետի այցը Վատիկան և  Հայ Առաքելական եկեղեցու դեմ սկսված արշավը,24.10.2025,15:02,https://irates.am/hy/1761303889
3,"Իրական անկախություն շատ քչերն ունեն, և շատ քչերն են ի վիճակի նվաճել այն",24.10.2025,14:56,https://irates.am/hy/1761303506
4,Ով ինչ է անում,24.10.2025,14:31,https://irates.am/hy/1761301922
5,"Առաջ մեզ ցեղասպանողներին ոչնչացնում էինք, իսկ այժմ առոք-փառոք դիմավորում ենք",24.10.2025,14:17,https://irates.am/hy/1761301167
6,Ալիևի «սուչիտ արած ինքնիշխանը» երկիրը վերածել է տարաբնույթ հատուկ ծառայությունների և սրա-նրա քիլլերների որջի,24.10.2025,14:04,https://irates.am/hy/1761300342
7,"Երբեք չվիճարկել այն, ինչը քննելի չէ",24.10.2025,13:50,https://irates.am/hy/1761299495
8,Փաշինյանի հայտարարությունները՝ Սահմանադրության բացահայտ խախտում,24.10.2025,13:42,https://irates.am/hy/1761299098
9,Ո՞րն է Սուրբ Էջմիածնի դեմ գլոբալիստների պայքարի ստրատեգիական խնդիրը,24.10.2025,13:35,https://irates.am/hy/1761298633
10,"Երբ անգրագիտությունը սահմաններ չունի, ապուշությունն էլ համաշխարհային ռեկորդ է սահմանել",24.10.2025,13:23,https://irates.am/hy/1761297889
11,ՈՒշքի´ արի,24.10.2025,13:17,https://irates.am/hy/1761297535
12,Զուր խրվեցի այս ճահիճում,24.10.2025,13:13,https://irates.am/hy/1761297270
13,Վտանգավոր նախադեպ․ Հայաստանում հող է նախապատրաստվում կրկնելու մոլդովական սցենարը,24.10.2025,13:07,https://irates.am/hy/1761296921
14,"Եվս մեկ քայլ դեպի «ազատ, արդար» ընտրություններ",24.10.2025,12:59,https://irates.am/hy/1761296433
15,"Հայաստանի, Արցախի, հայերիս թիվ 1 ներքին թշնամին արեց և անում է այն, ինչի համար բերել էին և եկել էր իշխանության. 19",24.10.2025,12:32,https://irates.am/hy/1761295099
16,Աղոթարան,23.10.2025,22:00,https://irates.am/hy/1761242468
17,Երկրի աղը,23.10.2025,21:59,https://irates.am/hy/1761242361
18,Նիկոլական աղանդն արդեն մի ջախջախիչ ու կանխարգելիչ պարտություն կրեց Հովհաննավանքում,23.10.2025,19:00,https://irates.am/hy/1761231757
19,Հարկային համակարգում անարդարության գագաթնակետը,23.10.2025,18:09,https://irates.am/hy/1761228908
20,Հերթը հասավ կոնյակին և շամպայնին,23.10.2025,17:26,https://irates.am/hy/1761226120
21,«Հոպոպի փոշի»՝ դյուրահավատ ժողովրդի գլխին,23.10.2025,16:10,https://irates.am/hy/1761221485
22,Իշխանությունն ամենամեծ գայթակղությունն է. այն գողանում է մարդու էությունը,23.10.2025,15:10,https://irates.am/hy/1761217909
23,"Արտաքին ներխուժման վտանգը լինելու է այնքան ժամանակ, քանի դեռ Փաշինյանն է իշխանության",23.10.2025,14:34,https://irates.am/hy/1761215789
24,"Ինչ է մնալու բալորիս, եթե սրանցից շարունակեք վախենալ",23.10.2025,14:15,https://irates.am/hy/1761214702
25,Ռուբեն Վարդանյանը հրաժարվել է փաստաբանից,23.10.2025,13:46,https://irates.am/hy/1761212893
26,Պատմությունն ու Աստված չեն ներելու,23.10.2025,13:36,https://irates.am/hy/1761212242
27,"Որ ես փոքր եմ` այդ ինքս եմ ասում,  բայց Աստծո փոքր եմ, ոչ սովորական",23.10.2025,13:30,https://irates.am/hy/1761211825
28,Դասականների դասը,23.10.2025,13:19,https://irates.am/hy/1761211320
29,Մանիֆեստ «Արևմտյան Ադրբեջանի կաթողիկոսության» ստեղծման մասին,23.10.2025,13:11,https://irates.am/hy/1761210788
30,Աստվածաշունչը չի ճանաչում «ստիպված մեղք» հասկացությունը,23.10.2025,13:03,https://irates.am/hy/1761210293
31,Կողմ ըլլալով՝ դե՞մ կըլլաք,23.10.2025,12:56,https://irates.am/hy/1761209853
32,"Իրավապահ համակարգը ոչնչացնելը, արդարադատության գաղափարն այլասերելը Նիկոլ Փաշինյանին չի ներվելու",23.10.2025,12:39,https://irates.am/hy/1761208909
33,Օտարամոլություն,23.10.2025,12:25,https://irates.am/hy/1761208036
34,Շարունակում է իր քաղաքական գիծը` ստորադասելով երկրի առաջնահերթությունները,23.10.2025,12:17,https://irates.am/hy/1761207515
35,Ալիևի «խաղաղարար» ժեստը կամ ճնշման նոր ձև,23.10.2025,12:06,https://irates.am/hy/1761206897
